ID,Text,Aspects,TokenCount
30,". POTUS has turned America into a magnet for clean energy investment. U.S. solar manufacturing capacity is now set to expand by 3x! 7.5 GW of capacity when POTUS took office now we ve got 22.5 GW coming by 2024 enough for 3.3 mil homes per year! . whitehouse.gov FACT SHEET: President Biden Takes Bold Executive Action to Spur Domestic Clean Energy Manufacturing... Historic Actions Include Authorizing Defense Production Act to Lower Energy Costs, Strengthen Power Grid, and Create Good-Paying Jobs Today s clean energy",,69
31,". POTUS introduces at a new hemispheric economic framework called the Americas Partnership for Economic Prosperity, focused on strengthening supply chains, targeting economic inequality, investing in clean energy jobs, and ensuring sustainable, inclusive trade.",,26
32,. POTUS s infrastructure plan wants to invest 174 billion in electric vehicles. The Republican counter offer? 4 billion. We will never be able to compete in the green energy race without making a real investment.,,24
33,". SB19Official promoting Filipino music, culture and arts to the world, campaigning for environmental causes, and spreading social awareness for a better governance. This is why we stan. 1 1,026 1,593",,21
34,. citizensclimate 's ParaMadeleine describes clean energy and nature-based solutions that can complement carbon fee and dividend in our mission to build political will for a livable world.,,17
35,". iaeaorg s publication ""Climate Change and Nuclear Power 2020"" provides an overview of the most important linkages between climate change and nuclear energy s role in mitigating it",,17
36,". municipalityist subsidiary Istanbul Digital Media wins 4 prizes from Polaris Awards for impactful campaigns focusing on social solidarity Pay It Forward , child-friendly communications, and environmental awareness against the planned Istanbul canal Istopia . Well done!",,28
37,". theSNP has committed to phasing out new petrol diesel cars by 2032. This must be backed up by significant investment into green energy, which is already happening in Scotland. Unfortunately, the Tory Govt has chosen to prioritise nuclear energy instead, setting us back years",,29
38,"... 30 to 80 MWh for Solar and 40 to 140 MWh for Wind excluding storage cost . So when we put those svere accidents GAUs , that lead people to fear nuclear energy, into context they aren't a reason to not do nuclear energy.",,24
39,"... this is the same plan they presented with tax hikes on every single American via customs duties, an annual penalty for electric vehicles, and which pays hedge funds to own public property so that every road, bridge, and rail line becomes like Texas's power grid? No thanks. Jeff Stein JStein WaPo Jun 22, 2021 Republicans I ve talked to today are cautiously optimistic about bipartisan infrastructure deal with White House Show this thread",,49
40,"...exactly the same comparison was made 70 years ago with nuclear energy. With subsequent high investments in research and the training of experts. The metaphor of ""fire"" raises fiery hopes. Noel Sharkey NoelSharkey Jul 12, 2021 Sundar Picha, CEO of Google says that AI is the most profound technology that we have ever worked with even more so than electricity and fire hahahahahahahahahaha!!!! Funniest thing I ve heard for ages. 4",,44
41,"...plants dependent on imported coal natural gas to practically shut down production. This brings us to the second reason, a more structural one: poor financial state of companies in the energy space. Recall the chain from coal producers to we mentioned at the...",,26
42,"0 of top 25 selling cars in the US are electric vehicles. Scott Duncan ScottDuncanWX Jul 21, 2021 June 2021 was the hottest on record for the Northern Hemisphere. In fact, 2019, 2020 and 2021 are the three hottest Junes on record for the Northern Hemisphere. Data: NASAGISS Show this thread",,34
43,"1 G A D stonebwoy Always Leveraging His Influence On Stage To Champion Environmental Awareness And Sustainability At The Official Launch Of tecnomobilegh CAMON19 Series Think About The Future Children , What Kind Of Legacy You Leaving For Them STONEBWOY The following media includes potentially sensitive content. Change settings View",,32
44,"1. Share of production, not consumption. 2. Only barely replaced the nuclear power that was shut down. No coal plants have been closed and new gas plants have been built. 3. Still only less than half of German power comes from low carbon sources including the 6 remaining NPP .",,31
45,"1. Strawberries may no longer be able to grow on Cameron Highlands someday if temperatures continue to rise, warns the Regional Environmental Awareness Cameron Highlands group. It told the New Straits Times, fruits growing in the area have already become smaller. 31 4,054 3,964",,34
46,"1. That anyone including us socialists have a plan which isn't laughably utopic. 2. Urgent funds into nuclear energy research is needed. Choose Arbeitology Arbeit Fish Jul 27, 2021 Whays your most unpopular opinion on the impending climate catastrophe?",,28
47,1. What started as an investigatory effort at the height of the pandemic has evolved into an expanded business portfolio in the form of our renewable energy subsidiary Oando Clean Energy Limited OCEL .,,19
48,10 Ways to Make Your Home Greener ... Here are 10 ways to embrace a greener lifestyle: Swap out appliances: ENERGY STAR products use less energy and meet strict criteria set by the U.S. Environmental Protection Agency and U.S. Department of Energy. Compost Bin: Keep fo,,33
49,"10 along with every other environmental group doesn t discuss, aside from those protesting and spreading awareness for the Dutch farmer. Which is fertiliser, and by stopping the use of Fossil fuels, most of the 8 billion of the global population, will starve. However I have-",,23
50,"12 18. The U.S. is going to ban the shark fin trade. It will be illegal to buy, sell or possess. With more environmental awareness, people change. Though we enjoyed the taste when we were young and naive, we support this bill 100 . We must come together to protect our world.",,29
51,"15 20 Elon: ""A bunch of the heavy duty coal plants that were being used, unequivocally being used. This is not a question mark, are being shut down - especially in China... Tesla looks like it will resume accepting Bitcoin if we continue this trend."" 1",,25
52,"15 8 2021. It's well know that natural gas is less polluter than coal emissions. We urge Russian works to EU new pipeline efforts go for an advance, and when natural gas supply arrives to western, central European community, EU countries shut down quickly coal energy plants.",,35
53,"2 SolarCity purchase was part of Musk s Master Plan, Part Deux to combine energy from solar homes, integrated battery storage, and electric vehicles that made money for customers when weren t using them. tsla",,23
54,"2 The Environmental Protection Agency and the Transportation Department are expected to propose a rule that would require passenger vehicles to average about 51 miles per gallon by 2026. The current standards, set by Mr. Trump, is 44 miles per gallon by the same year.",,29
55,2. But it's not just about the technology itself. AI is also helping to raise awareness about environmental issues and encourage sustainable behavior.,,12
56,2. Electric vehicles: There was 174 billion in the AJP vs. 15 billion in the Bipartisan Deal. Not nearly enough to transform our vehicles to clean energy.,,17
57,20 California has shut down most of its power plants in favor of wind and solar guess where they are getting there power from now the surrounding states using coal oil and natural gas whats the difference does any one see any thing wrong with this picture 1,,26
58,2000 tree seedlings were planted in Busunu by Naada Jinapor Foundation as their contribution to National fight against Climate Change.,,13
59,"2018 was the year when we launched our first city in the US: helbizofficial has come a long way since then, bringing our vehicles to dozens of cities, both in Europe and US, offering a greener means of transport to its people.",,22
60,"2021-07-02: Pioneer Natural Resources Company submitted a 2nd Quarter Lobbying Report, hiring Bluewater Strategies to lobby the Environmental Protection Agency, Senate, Executive Office of the President, Department of Interior, Department of Energy, Department of Commerce, Hou... 1",,31
61,"22 June 1969 52 years ago : The Cuyahoga River catches fire in Cleveland, Ohio, drawing national attention to water pollution, and spurring the passing of the Clean Water Act and the creation of the Environmental Protection Agency.",,26
62,"3 Earlier this week, a letter from French nuclear energy company Framatome, requesting help from the US Department of Energy warned that the build-up of radiation at the Taishan plant represented an ""imminent radiological threat,"" according to a report from CNN.",,26
63,"3rd repeat : Elon: I own BTC, and little bit of ETH, and Doge SpaceX and Tesla ONLY own BTC Bitcoin Elon owns is much more than ETH and Doge Does look like BTC is shifting towards renewables, lots of coal plants shut down in China. Little bit of more diligence needed for Tesla",,33
64,"4 . As they shut down the XL oil lines, want to shut down coal, gas nuclear electrical generating plants. Which will drive up the costs of charging that electric car. But I m free to welcome 180K new immigrants each month that will lower wages for Americans workers. Replacement 1",,30
65,44 of Republicans think we need to learn to live with mass shootings. Just like we needed to learn to live with COVID. And learn to live with poverty. And learn to live with no accountability for GOP criminals. And climate change. And oppression. Counterpoint: FUCK THAT,,26
66,5 Key Takeaways from the Nuclear Energy FY2022 Budget Request energy.gov 5 Key Takeaways from the Nuclear Energy FY2022 Budget Request DOE's FY22 Budget Request places a huge emphasis on scaling up commercial deployment of advanced reactors. 1,,31
67,5 Mr Bowbrick from beisgovuk presents current situation of nuclear energy in the UK. The British Gov't is happy of how work is going on at,,15
68,"5 This is being done by Choice Policy. Over last decade, UK EU shot down 100's of coal plants, UK has only 2 remaining, Spain shut down half. Goals: 72 closed by 2025, 100 by 2031. The EU spent Trillions subsidizing renewables While, China, Asia, India, adding coal plants",,35
69,5 excellent podcasts on environmental awareness: 1. A sustainable mind 2. The sustainability agenda 3. Ecosia 4. Sustainability Defined 5. The Impact Report,,19
70,"5. Nuclear energy is safe Contrary to popular belief, nuclear energy is actually one of the safest energy sources. Nuclear power plant is SIL3 SIL4 rated. Going forward with newer generations, there is no possibility of a meltdown.",,26
71,"5. fawadchaudhry urged to reduce sales tax on import of Electric Vehicles to 5 , to encourage the upcoming based on the cleanest fuel in He said it will reduce dependence significantly reduce",,20
72,"5.Heat waves in the USA haven't risen, the Environmental Protection Agency start the measurement of heat waves in 1960, the lowest level of heat waves in the latter part of the 20th century. EPA Website",,23
73,"6000 jobs to be created around Nissan with expansion of electric vehicles - 900 at Nissan, 750 at Envision AESC battery plant and more than 4000 in supply chain",,18
74,7 Power plants shut down in Gujarat due to shortage of Coal !! Past 25 years Gujarat were ruled by BJP and from 2014 BJP ruling the Country !! In past 70 years such things never happened !!,,24
75,"74 of Arizonans want to see clean energy transitions - Tempe Councilwoman Lauren Kuby, candidate for the Corporation Commission",,14
76,750 nominations 709 million people reached worldwide Public awareness of the prize doubled since 2020 Nearly 2 10 WORLDWIDE know about the prize within 1 year. 81 of people agree the prize makes them feel more hopeful about solving environmental issues GIF,,33
77,": Bulgarian miners march to protect coal industry, despite backlash from Greenpeace: Hundreds of families are destined to lose their jobs, say miners, if coal plants are shut down. VIA euronews - BHheadlines",,22
78,": HorizonEU project Agroecology-TRANSECT Trans-disciplinary approaches for systemic economic, ecological climate change transitions aims to deliver robust evidence of the benefits of on climate change mitigation, biodiversity and farm socio-economic resilience",,26
79,"A North Dakota coal plant that was reportedly going to shut down in 2022 is now being sold for a measly 1. These Minnesota shareholders say that s a bad deal, especially for the environment. insideclimatenews.org Plan to Save North Dakota Coal Plant Faces Intense Backlash from Minnesotans Who Would Help Pay for... In the next week, the boards of electric cooperative utilities across Minnesota will vote on whether to approve a plan to sell, rather than close, a North Dakota coal-fired power plant that has...",,54
80,A Proposed New Rule From The Environmental Protection Agency Could Allow Asbestos To Creep Back Into Manufacturing And Construction And It Would Be A Toxic Nightmare,,16
81,A clean energy transition requires more mining. Extreme weather is making it unsafe grist.org Extreme weather is making mining waste a major problem New report calls for revamped safety standards as companies race to meet demand for clean energy minerals.,,31
82,"A coal-fired power plant in North Dakota was supposed to shut down in 2022. Now the company is instead trying to sell the plant for just 1, and these Minnesota shareholders are not happy. insideclimatenews.org Plan to Save North Dakota Coal Plant Faces Intense Backlash from Minnesotans Who Would Help Pay for... In the next week, the boards of electric cooperative utilities across Minnesota will vote on whether to approve a plan to sell, rather than close, a North Dakota coal-fired power plant that has...",,54
83,A coalition of labor leaders sent this letter to GovPritzker yesterday again for the Springfield-owned CWLP coal-fired power plant the Prairie State Energy Campus which serves 60 cities towns energy co-ops in IL to not be shut down by 2035 a goal Gov already committed to,,32
84,A federal appeals court has ordered the Environmental Protection Agency EPA to reconsider banning the toxic pesticide chlorpyrifos. Now is our chance to win a ban on this chemical for good. TAKE ACTION pirg.org Home - PIRG,,24
85,"A good explainer on why Nuclear Energy is going to be crucial for India going forward and why fears are exaggerated. Balaji Vaidyanath nbalajiv Jul 6, 2021 A humble prediction. Seeds are being sown around the world for a comeback of nuclear energy. In the next decade, we can see government s around the world approving more nuclear reactors as they realize they aren t going anywhere near net carbon zero with wind and solar. Show this thread",,46
86,"A key member of the ClimateCrisis and NRDems committees, MikeLevin has consistently demonstrated his commitment to advancing clean energy, jobs, and justice. We need champions like him in Congress now more than ever, and LCVAF is proud to support him for reelection in CA49. ALT",,25
87,"A key strategy in the global fight against climate change is a switch to electric vehicles, a process which relies heavily on lithium. Understanding the geology natural resources of lithium will be vital as demand is forecast to significantly increase.",,23
88,A large part of the Vogrie Outdoor ELC ethos is respecting our environment and taking care of the spaces we use. Litter picking increases environmental awareness and contributes towards our children becoming responsible citizen s redjacketpeople,,24
89,A liberal guy set him self on fire outside SCOTUS a few weeks ago to protest climate change. Nobody remembers him or his name. Not even the democrats.,,17
90,"A lot easier to be electric in BC. Clean energy from hydro dams, no carbon tax or emissions.",,11
91,"A must-read piece about a new era of support for nuclear energy, and why people from all backgrounds are embracing our number one source of carbon-free energy. CityJournal city-journal.org The Nuclear Option As atomic power fades, a new band of supporters argues that it is still our best source of clean, reliable, and yes safe",,37
92,"A new environmental initiative is coming from PepsiCo ! The ""pep "" trademark is described as promoting awareness of sustainability. A new bottle made of 100 recycled plastic is referenced in another trademark. A ""GREEN BOTTLE"" event scheduled for December 2023 may be related. 1 2 9 1,206",,33
93,A new facility in CityOfFerndale will create electric vehicles and jobs. GrandeWestTrans's groundbreaking of this cutting-edge factory will help our state's goal of zero-emission public transportation. to lead.,,20
94,A new report urges the Environmental Protection Agency to fully investigate the pollution in Franklin - thought to have caused rare child cancers - before coming up with a final cleanup plan.,,19
95,"A newly approved drug to treat Alzheimer s disease is expected to become a multibillion-dollar expense for Medicare. By one projection, spending on the drug for Medicare s patients could end up being higher than the budgets for the Environmental Protection Agency or NASA. 1",,27
96,"A nuclear-powered ship with scientists, activists and billionaires will set sail in 2025, examining the state of oceans and raising environmental awareness",,15
97,A pair of PurdueAg professors have been appointed to the U.S. Environmental Protection Agency s newly reconstituted Scientific Advisory Board. 4,,14
98,"A record number of British Columbians are adopting electric vehicles for a quieter ride, cleaner air, and lower fuel costs. We re making sure we have the public infrastructure needed to support this uptake. See the full release here news.gov.bc.ca New report shows B.C. steering toward 2040 EV infrastructure goals British Columbia is charging ahead in expanding its electric vehicle EV charging network with more than 50 of the public fast-charging sites required to meet the province s 2040 demand already...",,60
99,A right-wing trash troll says fuel prices are increased to motivate people to opt for electric vehicles.,,13
100,"A statue by the artist of drowning girl in the River Nervion, is inspiring dialogue on the topic of change sea level rise. The statues unblinking eyes are plunged under rising tide day after day.",,21
101,"A statue plaque outside the Illinois State Capitol describes the coal miner as someone whose importance is ""vital, great, and just."" In a few moments, the Illinois Senate will vote to shut down coal plants if they can't reduce carbon emissions to zero before 2045.",,26
102,A study conducted by the Environmental Protection Agency s National Center for Environmental Assessment and published in 2018 in the American Journal of Public Health examined facilities emitting air pollution along with the racial and economic profiles of surrounding communities 2,,27
103,A thread about electric vehicles in BC. We sold our gas car in 2016 and replaced it with a 2013 Nissan Leaf. We live in a multi-generational home so we still have access to a gas car when needed.,,21
104,"A vertical Wind Turbine that generates power from passing traffic seems to be the latest clean energy generator... This is in Istanbul, Turkey. Source: Eco.Medy, Insta page!",,19
105,"A warm, windless night in Ontario. Gas filling in for lo hydro while nuclear does the heavy lifting. Without more nuclear, where will the power come from for the electric vehicles home heating both heavy nighttime loads the Federal government is pushing?",,25
106,"A win for the Red River flood diversion: The Environmental Protection Agency will provide a 569 million low-interest loan for the project. mprnews.org Consortium, loan announced for Fargo flood project A 2.75 billion project aimed at protecting Fargo, N.D. and Moorhead, Minn., from chronic flooding is gaining ground. It's getting a 569 million loan from the Environmental Protection Agency.",,44
107,"A year after the Cuyahoga River OH caught fire, the U.S. gov't established the Environmental Protection Agency 1970 it enacted the Clean Water Act in 1972 under Nixon. Makes me wonder: wtf are the doing today? DNC HouseDemocrats POTUS dscc 1",,28
108,A zone in Namibia with: 0 tax across the board is legal tender airspace open to all frequency movement ie drones law leans towards trial participants for medical biotech nuclear energy hub due to uranium self defense as residents sees fit LFG,,32
109,"AFR's Tony Boyd, not as credulous as the PM: The AGL coal-fired plants Woodside's reserves of LNG its newly acquired oil gas reserves from BHP are going to have to be shut down if we are to avoid catastrophic consequences for the global economy, environment biodiversity 1",,28
110,AGL s coal implosion shows what a disorderly transition to clean energy looks like. The initial lesson for the Albanese government from this is pretty simple: don t do what the Coalition did,,17
111,"AIR QUALITY UPDATE:The U.S. Environmental Protection Agency is now arriving on-scene and working with the Illinois Environmental Protection Agency and other local partners.They are setting up to do more in-depth testing to measure the impact to air, water and land.",,24
112,"AOC ,our ""democrat socialist"" congresswoman opposes Puerto Rico because she considers that ""colonialism"". Yet Alexandria ocasio-cortez wants Puerto Rico's coal-fired main power plants shut down. The results would be Beyond catastrophic! Isn't that colonialism?",,27
113,AOC get on board w Biden. Shut down coal plants and stop exporting coal to China! Stop making coal Is firs step. Biden s got enough Rs against him.! Get on board or GOP wins,,25
114,"AOC wants Coal-Fired Plant supplying Puerto Rico's Energy to be shut down. , Expert Warns Results Would Be Beyond Devastating Puerto Rico only gets 5 of its energy from so called green energy. Puerto Rico would be thrust into the dark ages if AOC had her way.",,32
115,"Actually FWIW climate change is one place where I support military intervention. We got some coal plants to shut down, or else, IMO. 1",,16
116,"Advanced tips for the Seattle heat wave: 1. Tape aluminum foil to cardboard and set these up on south west windows. 2. Wet down a towel for your pets. 3. Put a price on carbon pollution, one that has border adjustments will help shut coal. 4. Please support nuclear energy.",,34
117,"Africa Environment Day, celebrated annually on 3 March, was established by AU in 2002 as a way of raising awareness of the pressing environmental challenges facing the continent. Africa Environment Day has been celebrated in conjunction with Wangari Maathai Day.",,26
118,"After Commitment under the Modi Government, today, India is one of the leaders in sustainable development and clean energy. Country has shown that sound environmental policies can also pave the way to sound economies.",,21
119,"Aged photo credit: This image or other media is a work of an Environmental Protection Agency employee, taken or made as part of that person's official duties. As works of the U.S. federal government, all EPA images are in the public domain. 4",,25
120,"Ah, the old don t shut down our old coal power plants or we ll turn into another Texas ad. The very last thing I m worried about in Illinois at the moment is it turning into another Texas.",,19
121,"AlexEpstein On the supply side, thermal power plants, such as coal, gas, and nuclear plants, can shut down when the water they use for cooling gets too warm. rmi.org The California Blackout that Wasn t - RMI Both batteries and demand response played roles in keeping the lights and AC on in California on June 17 and 18. We're going to need more of both.",,35
122,"All communities should have clean water and modern water resources. The House took strong, bipartisan this week to pass to invest in water infrastructure, including key provisions I authored on clean energy, flood mitigation more! tonko.house.gov Tonko Clean Energy and Flood Control Priorities Advance out of House U.S. Representative Paul...",,37
123,"All these things are true: Electric vehicles are better than ICE vehicles. When vehicles get better, too often people buy BIGGER vehicles drive even more. EV s still pollute, take up too much space, lead to too many deaths. Fewer cars, less driving is the REAL solution.",,32
124,Allocated Tax Credits for Nuclear and Clean Energy Plan is good news to the nuclear ears--both existing and new projects. On a call with Dept of Energy rep now not confidential and he is emphasizing Biden's commitment to nuclear energy. Dispatchable energy reliability.,,27
125,Allowing the facility to open on the site of a closed coal plant is Little Village residents did not fight for years to shut down one polluter just to have Chicago approve another.,,18
126,"Also ""Gas Prices!"" ""They shut down coal plants"" ""They are going to change your country! It will be more like Venezuela!"" ""The demise of America as we know it!"" ""Declared war on the fossil fuel industry!""",,19
127,"Also people keep Judging Nuclear energy based solely on Light and Heavy water reactors, when there are at least 4 generations of nuclear energy technology James oraekene1 Jul 7, 2021 The Nucleae fear is exactly like the fear of flying people have even though its safer than car travel Nuclear, Like planes, kill much less people on average and fail less, but when they do fail, they do spectacularly. And that gets stuck in everyone's mind forever Show this thread",,54
128,"Also, I suppose I'm biased, but am I the only one that finds it odd that the literal California Environmental Protection Agency isn't highlighted along with CNRA in this video?",,15
129,"America can beat China in the clean energy arms race. attendees learn how with VandenbergCo s Carrie Filipetti, CSIS JosephMajkut , and our own QuillRobinson !",,15
130,"American Farm Bureau Federation President Zippy Duvall commented on the Environmental Protection Agency s EPA announcement of its intention to reverse the Navigable Waters Protection Rule."" fb.org Water Rule Reversal a Blow to Agriculture",,26
131,"Amid tense relations between UK and China, the British government is investigating ways to block China's state-owned nuclear energy company from all future power projects in the country. SaroyaHem tells you more",,22
132,"Andrew Walusimbi of Uganda Small Industries Association his host made good case on the challenges faced by SMEs adopting clean energy. Good guest , good host , great show MEMD Uganda HonAniteEvelyn Rwakakamba mukiza robert",,28
133,"Animal agriculture is the leading cause of deforestation and climate change. Of all the mammals left on earth today wildlife only account for 4 , humans now make up 36 , and livestock 60 . govegan animallivesmatter deforestation climatechange",,23
134,"Another episode of the Mr. Heat Pump series has landed! This time, Mr. Heat Pump meets with Dr. Sally Benson of the WhiteHouse OSTP on the crucial role clean energy heat pumps play in solving the climate crisis.",,27
135,Another veto of environmental protection legislation to help us reduce the impact of climate change in Vt. H.606 joins other enviro. protection bills that have been vetoed and it s clear that the governor is not interested in taking real action to address climate change.,,28
136,"Another winner: combustion engine scientists who don't have a clue about electricity systems doing convoluted math to prove the scientists advising the EU Commission can't do math and are too optimistic about electric vehicles. Spoiler: it's nonsense. AukeHoekstra AukeHoekstra Jun 21, 2021 171 scientists find calculation error that proves the electric vehicle is not greener! That's the gist of many German papers today but a better headline would be: THE COMBUSTION ENGINE LOBBY IS GASLIGHTING AGAIN Thread Show this thread",,50
137,Any sane Government would have used the massive fuel taxes to heavily subsidize Public Transport and also a shift to Electric Vehicles. By: srivatsayb,,16
138,"Any time of day you need energy, you should have it. Vasco is glad to be able to contribute towards clean energy solutions in Kenya's Kakuma camp, where most refugee families cannot afford to light their houses at night. unhcr.org Refugee-led business provides clean energy to camp residents A Congolese refugee is providing a lifeline for thousands of refugees and their hosts in Kenya's Kakuma camp through sustainable, reliable and affordable energy.",,46
139,Are you noticing more electric vehicles on the roads? Or is it just me? And...when do you think the Aussie government not state with offer subsidies to buy an talk of building charging networks? Either way EV cars sales are expected to grow at 30 CAGR,,24
140,"Arizona has over 300 days a year of sunshine, yet the state only relies on the sun's rays for 8 percent of its energy. Wasting all of that abundant, cheap, and clean energy.",,18
141,"As I begin my shift on the Clyde docks etc, indebted to ClothingHugh 916 stevo for this exceptionally warm beanie. Solidarity to all fighting through this freezing Sydney climate change event.",,19
